data_type;site;lat_dd;lon_dd;datum;precision;date;day;month;year;period;position;habitat;trans_n;sampleID;depth_max;depth_min;temp_c;visi_vert;visi_hor;taxon;cat_tax;group;kingdom;phylum;class;order;family;AphiaID;abund;sample_config;area_m2
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;2;DE_T2_20200311;12;6;23.5;8;9;Styela_plicata;Species;Species_exótica;Animalia;Chordata;Ascidiacea;Stolidobranchia;Styellidae;103936;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;3;DE_T3_20200311;12;6;23.5;8;9;Styela_plicata;Species;Species_exótica;Animalia;Chordata;Ascidiacea;Stolidobranchia;Styellidae;103936;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;12;6;23.5;8;9;Lixo_de_pesca;NA;Lixo_de_pesca;NA;NA;NA;NA;NA;NA;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;2;DE_T2_20200311;12;6;23.5;8;9;Lixo_de_pesca;NA;Lixo_de_pesca;NA;NA;NA;NA;NA;NA;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;3;DE_T3_20200311;12;6;23.5;8;9;Lixo_de_pesca;NA;Lixo_de_pesca;NA;NA;NA;NA;NA;NA;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;12;6;23.5;8;9;Lixo_comum;NA;Lixo_comum;NA;NA;NA;NA;NA;NA;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;2;DE_T2_20200311;12;6;23.5;8;9;Lixo_comum;NA;Lixo_comum;NA;NA;NA;NA;NA;NA;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rocky_shore;3;DE_T3_20200311;12;6;23.5;8;9;Lixo_comum;NA;Lixo_comum;NA;NA;NA;NA;NA;NA;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rodolith_bed;1;DE_T1_20200311;16;12;23.5;8;9;Eucidaris_tribuloides;Species;Ouriço;Animalia;Echinodermata;Echinoidea;Cidaroida;Cidaridae;396741;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rodolith_bed;2;DE_T2_20200311;16;12;23.5;8;9;Eucidaris_tribuloides;Species;Ouriço;Animalia;Echinodermata;Echinoidea;Cidaroida;Cidaridae;396741;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rodolith_bed;3;DE_T3_20200311;16;12;23.5;8;9;Eucidaris_tribuloides;Species;Ouriço;Animalia;Echinodermata;Echinoidea;Cidaroida;Cidaridae;396741;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rodolith_bed;1;DE_T1_20200311;16;12;23.5;8;9;Lytechinus_variegatus;Species;Ouriço;Animalia;Echinodermata;Echinoidea;Camarodonta;Toxopneustidae;367850;0;20m_x_2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;11;03;2020;morning;Rebio Arvoredo;rodolith_bed;2;DE_T2_20200311;16;12;23.5;8;9;Lytechinus_variegatus;Species;Ouriço;Animalia;Echinodermata;Echinoidea;Camarodonta;Toxopneustidae;367850;0;20m_x_2m;40
